Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Luke Kennard,SF,DET,@ LAC,18th,105.75,4900,0,16.5,26.5,4.1,0.81,29.05,8.54,8.25,0,19.7,12.2,32.9,0.00,0.00,0.00,100,,69,0,,,,
Paul Millsap,PF,DEN,@ IND,5th,104.75,4800,11,42.3,25.2,1.4,1.00,36.15,10.76,8.95,7.55,20.2,9.1,25.1,25.25,24.40,24.40,100,,64,5.1,Y,27,20.90,4.4
Dillon Brooks,SG,MEM,@ SAC,27th,110.25,4800,9.9,41.3,23.9,2.0,0.86,31.03,9.85,8.97,7.39,23.1,12.5,27.7,27.00,23.36,23.36,100,,62,4.9,Y,28,21.50,4.5
Bismack Biyombo,C,CHA,@ CLE,24th,105.00,4700,5.8,42.3,18.5,0.9,0.98,35.53,13.88,10.43,8.68,17.1,5.4,18.8,22.50,21.40,21.40,100,,44,4.6,Y,24,15.20,3.2
Gary Harris,SG,DEN,@ IND,5th,104.75,4700,10.8,38.8,22.0,2.2,0.67,24.15,7.49,8.00,6.97,15.1,9.8,32.8,33.50,22.84,22.84,100,,64,4.9,Y,37,22.10,4.7
Glenn Robinson III,SF,GSW,@ MIN,30th,104.75,4700,12.9,41.5,22.7,1.6,0.71,25.47,7.46,8.16,7.25,15.6,10.3,32.1,35.00,25.18,25.18,100,,64,5.4,Y,31,23.70,5
Joe Harris,SF,BKN,@ DAL,22nd,108.00,4700,13.4,44.7,24.2,2.1,0.76,27.34,9.52,8.93,9.12,17.6,11.7,31.8,34.50,26.79,26.79,100,,63,5.7,Y,31,23.30,5
Patrick Beverley,PG,LAC,vs DET,20th,117.75,4700,0,19.8,25.1,3.3,0.87,31.21,9.42,9.89,0,13.1,7.3,28.9,0.00,0.00,0.00,100,,61,0,,,,
Chris Boucher,PF,TOR,@ MIA,19th,104.50,4600,1.1,43.1,15.3,0.5,1.19,42.52,17.29,11.99,8.28,16.7,4.6,12.9,17.25,19.12,19.12,100,,22,4.2,,13,19.60,4.3
Jordan Clarkson,SG,UTA,@ CHI,7th,105.75,4600,10.1,42.2,22.2,2.3,0.96,34.58,10.39,9.18,7.36,26.1,11.4,23.2,25.50,23.87,23.87,100,,59,5.2,,23,13.60,3
