Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Matthew Benning,1,,D,3500,NSH,@FLA,0,D3,,2.85,13.8,14.2,14.2,0.6,0.6,0.6,1.9,2.1,2.1,1.0,3.3,4.4,1.3,3.2,0.9
Nikolai Knyzhov,,,D,3500,SJ,@ANH,7,D3,,2.74,10.4,10.3,10.3,0.6,0.6,0.6,1.6,2.0,2.0,-0.1,4.1,0.0,0.0,6.4,1.8
Moritz Seider,,,D,3500,DET,@TB,1,,,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Artemi Kniazev,,,D,3500,SJ,@ANH,7,,,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Friedman,,,D,3500,PHI,BOS,1,,,2.55,11.2,11.2,11.2,0.3,0.3,0.3,0.5,0.5,0.5,-0.4,1.5,0.0,0.0,0.0,0.0
Jake Bischoff,,,D,3500,VGK,LA,7,,,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Roy,,D,D,3500,LA,@VGK,2,,,2.43,16.5,18.6,18.6,1.2,1.8,1.8,6.4,6.6,6.6,2.2,11.0,0.0,0.0,0.0,0.0
Jan Rutta,,,D,3500,TB,DET,1,D1,,3.52,15.9,14.6,14.6,1.2,1.4,1.4,5.4,4.4,4.4,0.7,8.1,2.6,0.7,11.2,3.2
Morgan Frost,,D,C,3500,PHI,BOS,1,,,2.55,10.2,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Spence,,,D,3500,LA,@VGK,2,,,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederic Allard,,,D,3500,NSH,@FLA,0,,,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Schuldt,,,D,3500,VGK,LA,7,,,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
