Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Dustin Brown,W,6100,LA,MON,2,10.0,4.8
Jonathan Toews,C,6100,CHI,PIT,1,13.9,3.2
Mark Giordano,D,6000,CGY,STL,60,13.1,16.0
Seth Jones,D,6000,CLS,COL,61,12.9,14.9
Nicklas Backstrom,C,5900,WAS,VGK,1,12.0,34.1
Jakub Vrana,W,5800,WAS,VGK,2,9.9,20.8
Mats Zuccarello,W,5800,MIN,ARI,1,11.5,3.2
Drew Doughty,D,5800,LA,MON,65,11.5,9.6
Ryan Johansen,C,5700,NSH,SJ,1,10.5,4.8
Reilly Smith,W,5700,VGK,WAS,1,11.3,15.7
Clayton Keller,W,5700,ARI,MIN,3,12.1,6.4
Shea Weber,D,5600,MON,LA,70,12.2,41.0
Pierre-Luc Dubois,C,5600,CLS,COL,1,11.4,8.0
William Nylander,W,5600,TOR,PHI,1,11.7,28.0
Jaden Schwartz,W,5500,STL,CGY,1,11.6,3.2
Zach Parise,W,5400,MIN,ARI,2,13.0,9.6
Kevin Hayes,C,5400,PHI,TOR,3,10.9,1.6
Timo Meier,W,5300,SJ,NSH,2,14.9,14.4
Oliver Ekman-Larsson,D,5300,ARI,MIN,78,10.3,11.2
Jonathan Drouin,W,5300,MON,LA,2,10.7,18.6
Zachary Werenski,D,5300,CLS,COL,80,10.9,18.4
