Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tee Higgins,0,,WR,5300,CIN,JAX,26.3,CIN by 3,0%,22%,-12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.1,1.3,5.0,10,7.8,7.8,7.8,-1.7,17.4,8.7,1.6,11.0,2.1
Tre'Quan Smith,1,,WR,5300,NO,@DET,29.0,NO by 4,18%,8%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,5.9,0.7,9.4,10,6.1,6.1,6.1,1.0,11.2,9.9,1.9,19.4,3.7
Chase Edmonds,1,,RB,5300,ARI,@CAR,27.3,ARI by 3,6%,24%,50%,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.5,0.7,3.6,3.7,3.7,2.4,0.7,4.5,9,6.4,6.4,6.4,1.5,11.3,6.2,1.2,12.5,2.4
Malcolm Brown,0,,RB,5300,LAR,NYG,30.5,LAR by 13,5%,-3%,6%,0.0,0.0,0.0,0.0,0.0,12.0,12.0,8.2,2.3,4.0,2.0,2.0,2.3,0.3,5.2,16,10.4,10.4,10.4,-2.0,22.7,6.3,1.2,8.1,1.5
Travis Homer,,,RB,5200,SEA,@MIA,29.5,SEA by 6.5,10%,5%,6%,0.0,0.0,0.0,0.0,0.0,2.7,2.7,4.6,0.3,4.9,1.0,1.0,2.0,0.0,1.3,11,1.8,1.8,1.8,1.4,2.2,5.0,1.0,7.3,1.4
Laviska Shenault Jr.,0,,WR,5200,JAX,@CIN,23.3,CIN by 3,2%,31%,-4%,0.0,0.0,0.0,0.0,0.0,2.7,2.7,1.5,0.3,6.0,4.7,4.7,5.2,0.3,7.5,10,8.9,8.9,8.9,5.8,12.1,8.5,1.6,11.6,2.2
Willie Snead,,,WR,5200,BAL,@WAS,29.0,BAL by 13,-2%,24%,-10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.7,3.5,1.0,12.1,6,6.6,6.6,6.6,-0.3,13.5,5.0,1.0,3.0,0.6
Rob Gronkowski,,Q,TE,5200,TB,LAC,24.8,TB by 7,-17%,-3%,-24%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.7,5.2,0.3,5.4,8,3.3,3.3,3.3,-0.7,7.3,6.0,1.2,3.4,0.7
Nyheim Hines,0,,RB,5200,IND,@CHI,23.0,IND by 2.5,-6%,-3%,8%,0.0,0.0,0.0,0.0,0.0,4.7,4.7,3.5,2.0,3.5,4.7,4.7,3.6,1.0,6.4,12,10.8,10.8,10.8,-0.7,22.2,6.6,1.3,4.7,0.9
Zack Moss,,Q,RB,5100,BUF,@LV,28.0,BUF by 3,6%,-7%,17%,0.0,0.0,0.0,0.0,0.0,8.5,8.5,0.0,4.0,2.8,2.0,2.0,0.0,1.0,4.0,0,6.9,6.9,6.9,2.4,11.5,0.0,0.0,0.0,0.0
Austin Hooper,1,,TE,5100,CLE,@DAL,25.8,DAL by 4.5,-2%,-4%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,5.2,0.3,6.2,8,3.2,3.2,3.2,2.5,4.0,7.5,1.5,11.9,2.3
Eric Ebron,1,,TE,5100,PIT,@TEN,24.5,PIT by 2,14%,-2%,17%,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,4.7,4.7,,0.7,8.1,,7.3,7.3,7.3,1.4,13.1,0.0,0.0,0.0,0.0
Danny Amendola,0,,WR,5100,DET,NO,25.0,NO by 4,-1%,-26%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.2,0.3,6.7,10,5.3,5.3,5.3,0.8,9.9,6.7,1.3,6.7,1.3
Kerryon Johnson,,,RB,5100,DET,NO,25.0,NO by 4,-1%,-26%,-18%,0.0,0.0,0.0,0.0,0.0,6.0,6.0,7.2,1.7,3.4,0.7,0.7,1.4,0.0,7.0,13,4.7,4.7,4.7,0.7,8.7,4.8,0.9,1.7,0.3
Larry Fitzgerald,0,,WR,5100,ARI,@CAR,27.3,ARI by 3,6%,24%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.4,0.3,5.6,9,4.8,4.8,4.8,0.8,8.8,7.4,1.5,1.4,0.3
Curtis Samuel,1,,WR,5100,CAR,ARI,24.3,ARI by 3,15%,-3%,4%,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.1,0.7,4.2,4.7,4.7,4.6,0.7,6.9,10,6.3,6.3,6.3,5.1,7.5,8.3,1.6,6.3,1.2
Cole Beasley,0,,WR,5100,BUF,@LV,28.0,BUF by 3,6%,-7%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,6.7,7.0,1.3,11.4,12,10.1,10.1,10.1,7.4,12.8,9.2,1.8,10.7,2.1
Jordan Howard,,,RB,5000,MIA,SEA,23.0,SEA by 6.5,27%,2%,-2%,0.0,0.0,0.0,0.0,0.0,5.3,5.3,3.8,2.7,0.8,0.0,0.0,0.3,0.0,0.0,6,6.4,6.4,6.4,6.1,6.7,3.9,0.8,0.4,0.1
Zach Pascal,0,,WR,5000,IND,@CHI,23.0,IND by 2.5,-6%,-3%,-20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.7,3.7,5.1,1.0,6.5,9,5.5,5.5,5.5,2.1,9.0,7.5,1.5,7.3,1.5
Cedrick Wilson,,,WR,5000,DAL,CLE,30.3,DAL by 4.5,-5%,24%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,3.3,0.0,15.3,5,8.4,8.4,8.4,-6.1,22.9,5.0,1.0,4.9,1.0
Andy Isabella,2,,WR,5000,ARI,@CAR,27.3,ARI by 3,6%,24%,7%,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.0,-6.0,2.0,2.0,2.8,0.7,19.0,5,8.6,8.6,8.6,-0.5,17.7,5.7,1.1,1.3,0.3
Taysom Hill,,,TE,5000,NO,@DET,29.0,NO by 4,18%,8%,4%,0.3,0.3,0.4,0.0,38.0,2.3,2.3,1.4,0.7,3.9,0.7,0.7,0.0,0.0,7.5,3,1.6,1.6,1.6,-1.3,4.4,1.9,0.4,1.9,0.4
