Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Malachi Flynn,,,PG,3500,TOR,CHA,1,114,,,102,106,-1%,3,4,3,10,11,9,7.5,5.4,-1.8,12.5,0.0,0.0,0.0,18.2,12.7,3.6
Jalen Harris,,,PG,3500,TOR,CHA,1,114,,,102,106,-1%,0,0,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Keljin Blevins,,Q,PG,3500,POR,ATL,8,120,,,103,108,12%,1,2,2,4,5,5,2.0,2.0,-1.5,5.5,0.0,0.0,0.0,,0.0,0.0
CJ Elleby,,O,SF,3500,POR,ATL,1,120,,,103,108,-1%,1,1,1,5,6,6,3.1,3.6,1.3,5.9,0.0,0.0,0.0,0,0.0,0.0
Saben Lee,,,PG,3500,DET,@MIA,2,106,,,104,109,2%,5,5,5,13,13,13,8.3,8.3,6.4,10.3,0.0,0.0,0.0,1.1,0.0,0.0
Grant Riller,,,SG,3500,CHA,@TOR,n/a,108,,,103,108,-2%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Vernon Carey,,,PF,3500,CHA,@TOR,1,108,,,103,108,7%,1,1,1,1,2,2,3.7,3.7,0.5,6.9,0.0,0.0,0.0,0,0.0,0.0
Killian Tillie,,Q,PF,3500,MEM,PHI,n/a,112,,,105,105,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nathan Knight,,,PF,3500,ATL,@POR,4,115,,,103,111,-2%,4,3,3,9,6,6,7.0,6.1,-1.3,13.5,0.0,0.0,0.0,0,0.0,0.0
Onyeka Okongwu,,,C,3500,ATL,@POR,0,115,,,103,111,-2%,6,6,6,14,14,14,14.0,14.0,14.0,14.0,15.0,14.6,4.2,0,0.0,0.0
Nick Richards,,,C,3500,CHA,@TOR,1,108,,,103,108,-4%,1,1,1,4,3,3,2.2,2.2,-0.5,4.8,0.0,0.0,0.0,,0.0,0.0
Nate Darling,,,SG,3500,CHA,@TOR,n/a,108,,,103,108,3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Terrance Ferguson,,,SG,3500,PHI,@MEM,1,111,,,103,104,-9%,0,1,1,1,4,4,0.3,0.3,-0.7,1.4,0.0,0.0,0.0,0,0.0,0.0
Jahlil Okafor,,,C,3500,DET,@MIA,2,106,16,19,104,109,-10%,2,3,4,9,8,11,6.8,9.2,4.5,13.9,0.0,0.0,0.0,0,0.0,0.0
DeAndre Bembry,,,SG,3500,TOR,CHA,1,114,,,102,106,-9%,1,1,1,2,4,4,2.5,2.5,0.5,4.5,0.0,0.0,0.0,0,0.0,0.0
Stanley Johnson,1,,SF,3500,TOR,CHA,1,114,11,10,102,106,-3%,4,2,2,22,16,14,13.2,11.5,4.2,18.9,16.0,13.8,3.9,13.7,15.3,4.4
Patrick Mccaw,,O,SG,3500,TOR,CHA,n/a,114,,,102,106,-9%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Furkan Korkmaz,,O,SG,3500,PHI,@MEM,3,111,,,103,104,-9%,8,8,8,17,18,18,11.9,11.9,4.8,19.0,0.0,0.0,0.0,0,0.0,0.0
Aron Baynes,2,,C,3500,TOR,CHA,1,114,15,5,102,106,4%,2,4,6,11,15,18,8.0,11.4,3.7,19.1,10.0,7.9,2.3,4.3,1.6,0.5
Mike Scott,,O,PF,3500,PHI,@MEM,1,111,12,4,103,104,-3%,8,6,6,26,20,19,9.3,9.5,3.4,15.6,0.0,0.0,0.0,0,0.0,0.0
Meyers Leonard,,O,C,3500,MIA,DET,1,112,,,101,111,-2%,1,2,2,5,10,10,6.5,6.5,1.1,11.8,0.0,0.0,0.0,0,0.0,0.0
Udonis Haslem,,,PF,3500,MIA,DET,6,112,,,101,111,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Rodney McGruder,,,SG,3500,DET,@MIA,2,106,,,104,109,7%,1,1,1,6,6,6,2.1,2.1,-0.9,5.1,0.0,0.0,0.0,0,0.0,0.0
Alex Len,,O,C,3500,TOR,CHA,4,114,11,5,102,106,4%,1,1,1,7,8,11,4.1,6.7,1.3,12.1,0.0,0.0,0.0,,0.0,0.0
Rodney Hood,,,SF,3500,POR,ATL,1,120,12,1,103,108,-1%,2,3,3,10,13,13,6.5,6.7,2.3,11.1,13.5,8.5,2.4,13.1,8.1,2.3
Jaren Jackson,,O,PF,3500,MEM,PHI,n/a,112,,,105,105,-5%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Gary Trent,6,,SG,3500,POR,ATL,1,120,17,12,103,108,-9%,9,8,9,24,27,24,14.7,15.6,5.6,25.6,25.5,18.1,5.2,26.6,22.1,6.3
Cody Martin,,,SG,3500,CHA,@TOR,1,108,14,14,103,108,7%,3,2,3,8,7,11,7.9,8.8,2.8,14.8,10.0,7.4,2.1,0,0.0,0.0
Jalen McDaniels,,,PF,3500,CHA,@TOR,1,108,19,9,103,108,7%,1,3,3,1,9,9,7.6,7.0,1.0,13.1,0.0,0.0,0.0,0,0.0,0.0
Deividas Sirvydis,,,SG,3500,DET,@MIA,2,106,,,104,109,7%,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0
Sekou Doumbouya,,,PF,3500,DET,@MIA,2,106,18,11,104,109,7%,2,4,4,5,12,11,9.8,9.5,2.4,16.6,0.0,0.0,0.0,16.5,9.6,2.7
Vincent Poirier,,O,C,3500,PHI,@MEM,6,111,,,103,104,10%,1,1,1,4,5,5,3.7,3.7,0.4,7.0,0.0,0.0,0.0,,0.0,0.0
Nassir Little,,,SF,3500,POR,ATL,1,120,,,103,108,-1%,1,1,1,5,6,6,3.2,3.2,-0.4,6.8,0.0,0.0,0.0,0,0.0,0.0
Bruno Fernando,,,PF,3500,ATL,@POR,0,115,13,6,103,111,-2%,3,2,2,12,9,11,4.2,8.3,2.1,14.5,0.0,0.0,0.0,0,0.0,0.0
Anfernee Simons,,,PG,3500,POR,ATL,1,120,21,7,103,108,-9%,5,4,5,8,9,10,6.3,7.9,1.1,14.8,0.0,0.0,0.0,8.2,2.4,0.7
Yuta Watanabe,,,SG,3500,TOR,CHA,1,114,11,8,102,106,-3%,3,3,3,12,13,12,10.2,10.5,6.7,14.4,10.5,8.0,2.3,3.8,0.0,0.0
Paul Watson,,,SG,3500,TOR,CHA,1,114,,,102,106,-9%,1,1,1,3,3,3,2.9,2.9,1.3,4.4,0.0,0.0,0.0,,0.0,0.0
KZ Okpala,,,SF,3500,MIA,DET,6,112,,,101,111,7%,2,2,2,7,10,10,5.3,5.3,0.7,9.8,23.5,15.1,4.3,27.4,14.7,4.2
Terence Davis,,,SG,3500,TOR,CHA,1,114,23,16,102,106,-9%,6,6,6,11,13,12,13.5,11.6,2.6,20.6,0.0,0.0,0.0,0,0.0,0.0
