Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
James Conner,2,,RB,6900,PIT,DEN,24.5,PIT by 7.5,-4%,0%,-14%,0.0,0.0,0.0,0.0,0.0,6.0,6.0,11.7,0.0,1.5,4.0,4.0,4.0,0.0,2.0,24,2.7,2.7,2.7,2.7,2.7,10.4,1.5,19.1,2.8
Tyrod Taylor,0,Q,QB,6800,LAC,KC,19.3,KC by 9,-8%,15%,-5%,30.0,30.0,33.2,4.0,6.9,6.0,6.0,4.4,0.0,1.2,0.0,0.0,0.0,0.0,0.0,62,9.0,9.0,9.0,9.0,9.0,15.2,2.2,0.0,0.0
D.J. Moore,5,,WR,6800,CAR,@TB,19.3,TB by 9,17%,-36%,31%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,9.0,9.0,8.7,1.0,6.0,14,7.4,7.4,7.4,7.4,7.4,11.8,1.7,16.0,2.4
Miles Sanders,5,,RB,6800,PHI,LAR,22.3,LAR by 1,-2%,0%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,4.9,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,13.3,2.0,18.6,2.7
Stefon Diggs,7,,WR,6800,BUF,@MIA,23.5,BUF by 6,6%,17%,16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,9.0,9.0,7.3,2.0,9.6,12,12.6,12.6,12.6,12.6,12.6,11.9,1.8,25.3,3.7
D.J. Chark,1,Q,WR,6700,JAX,@TEN,16.8,TEN by 9,9%,-8%,-1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.0,3.0,8.2,1.0,8.3,14,10.0,10.0,10.0,10.0,10.0,11.4,1.7,10.4,1.6
Robert Woods,5,,WR,6700,LAR,@PHI,23.3,LAR by 1,-2%,-18%,14%,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.0,14.0,8.0,8.0,8.6,2.0,13.1,15,14.9,14.9,14.9,14.9,14.9,12.4,1.9,10.3,1.5
Drew Lock,0,O,QB,6700,DEN,@PIT,17.0,PIT by 7.5,-19%,-7%,-23%,33.0,33.0,33.5,5.0,6.5,3.0,3.0,2.6,1.0,1.7,0.0,0.0,0.0,0.0,0.0,62,13.1,13.1,13.1,13.1,13.1,0.0,0.0,-1.2,-0.2
Melvin Gordon,1,,RB,6700,DEN,@PIT,17.0,PIT by 7.5,-19%,-7%,-24%,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.3,4.0,5.2,3.0,3.0,4.7,0.0,2.7,34,14.1,14.1,14.1,14.1,14.1,12.8,1.9,15.4,2.3
Sam Darnold,0,,QB,6600,NYJ,SF,17.5,SF by 7,-26%,3%,-3%,35.0,35.0,33.2,3.0,6.1,1.0,1.0,2.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,58,12.2,12.2,12.2,12.2,12.2,12.8,1.9,11.9,1.8
Kenyan Drake,10,,RB,6600,ARI,WAS,27.3,ARI by 7,0%,25%,21%,0.0,0.0,0.0,0.0,0.0,16.0,16.0,14.7,1.0,3.8,2.0,2.0,4.9,0.0,2.5,32,13.5,13.5,13.5,13.5,13.5,15.1,2.3,10.5,1.6
A.J. Brown,1,Q,WR,6600,TEN,JAX,25.8,TEN by 9,1%,21%,-13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,1.0,4.9,0,6.4,6.4,6.4,6.4,6.4,0.0,0.0,0.0,0.0
Raheem Mostert,4,D,RB,6500,SF,@NYJ,24.5,SF by 7,3%,-25%,-11%,0.0,0.0,0.0,0.0,0.0,15.0,15.0,14.3,1.0,3.7,5.0,5.0,2.0,0.0,19.0,26,23.1,23.1,23.1,23.1,23.1,12.5,1.9,17.7,2.7
Dwayne Haskins,3,,QB,6500,WAS,@ARI,20.3,ARI by 7,18%,6%,28%,31.0,31.0,33.6,5.0,5.7,7.0,7.0,2.5,4.0,2.4,0.0,0.0,0.0,0.0,0.0,61,12.8,12.8,12.8,12.8,12.8,14.3,2.2,11.7,1.8
DeVante Parker,0,Q,WR,6500,MIA,BUF,17.5,BUF by 6,-15%,-10%,-16%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.9,0.0,11.8,11,6.7,6.7,6.7,6.7,6.7,7.7,1.2,13.8,2.1
Ryan Fitzpatrick,0,,QB,6500,MIA,BUF,17.5,BUF by 6,-15%,-10%,-25%,30.0,30.0,33.4,2.0,6.4,5.0,5.0,3.3,2.0,3.6,0.0,0.0,0.0,0.0,0.0,61,8.4,8.4,8.4,8.4,8.4,14.1,2.2,24.3,3.7
