"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54733-23226:Tom Wilson","54733-23226","W","Tom","Tom Wilson","Wilson","14.46363691850142","11","4800","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-62429:Adrian Kempe","54733-62429","W","Adrian","Adrian Kempe","Kempe","12.623077392578125","13","4800","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-15386:Ryan Strome","54733-15386","C","Ryan","Ryan Strome","Strome","9.13846177321214","13","4700","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-43200:Ryan Pulock","54733-43200","D","Ryan","Ryan Pulock","Pulock","8.950000217982701","14","4700","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-12812:Jared Spurgeon","54733-12812","D","Jared","Jared Spurgeon","Spurgeon","6.836363358931108","11","4700","MIN@LA","MIN","LA","DTD","Upper body","","",""
"","","","","","","","","","","54733-70199:Devon Toews","54733-70199","D","Devon","Devon Toews","Toews","12.700000339084202","9","4700","COL@VGK","COL","VGK","","","","",""
"","","","","","","","","","","54733-135875:Kirill Kaprizov","54733-135875","W","Kirill","Kirill Kaprizov","Kaprizov","10.590909090909092","11","4700","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-111493:Jack Hughes","54733-111493","C","Jack","Jack Hughes","Hughes","12.466666327582466","9","4700","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-66686:Anthony Beauvillier","54733-66686","W","Anthony","Anthony Beauvillier","Beauvillier","3.3","5","4600","NYI@BUF","NYI","BUF","IR","Lower body","","",""
"","","","","","","","","","","54733-85132:Rasmus Dahlin","54733-85132","D","Rasmus","Rasmus Dahlin","Dahlin","9.127272865988992","11","4600","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-21689:Reilly Smith","54733-21689","W","Reilly","Reilly Smith","Smith","8.584615267240084","13","4600","COL@VGK","VGK","COL","","","","",""
"","","","","","","","","","","54733-21897:Brock Nelson","54733-21897","C","Brock","Brock Nelson","Nelson","8.507142748151507","14","4600","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-80991:Nico Hischier","54733-80991","C","Nico","Nico Hischier","Hischier","10.5","58","4500","NJ@NYR","NJ","NYR","O","Leg","","",""
"","","","","","","","","","","54733-103940:Adam Fox","54733-103940","D","Adam","Adam Fox","Fox","12.192307692307692","13","4500","NJ@NYR","NYR","NJ","","","","",""
